objid,ra,dec,redshift,mag_r
1237648720695328880,183.420508475856,-0.580246624119892,0.2533595,18.60575
1237648720688578619,167.956161869319,-0.432978542945261,0.2757469,18.66607
1237651192436687028,145.560697796456,59.9945202394438,0.07538429,16.35295
1237648720164815017,197.905929868809,-0.959548214112781,0.0867744,17.49632
1237648720163701045,195.369843502716,-0.967857695016696,0.2456699,18.28825
1237648720163569760,195.096750342691,-0.908279476150027,0.1220383,17.6091
1237648720159047682,184.66237895012,-1.02620671688799,0.2573984,18.01825
1237648705662812481,210.751777920293,1.045263370809,0.5378419,20.45498
1237648705657372862,198.354441087108,0.920690657501131,0.1841405,17.83408
1237648705127448702,214.156017375323,0.564519139095299,0.433724,18.64241
1237648705114079366,183.656964718666,0.476384808703458,0.1849125,17.71965
1237648704586973290,205.962768095654,0.0763286454201606,0.07327056,16.82302
1237648704586842332,205.73096156094,0.109667040206051,0.4360472,19.40672
1237648704053313737,213.36341063547,-0.243066646629042,0.1254413,18.42389
1237648704049840522,205.324520761318,-0.389324429154261,0.4231413,19.70308
1237648704047677462,200.397210100331,-0.218255572858051,0.0821794,16.15272
1237648702972887552,198.009391349212,-1.16535047502964,0.3966622,19.81157
1237648702967185538,185.052452099302,-1.09209917203603,0.1183385,17.73107
1237651066280870288,192.479539680296,64.6267717778941,0.583452,20.51494
1237651066277855724,176.506884742757,64.5537130971701,0.6332197,20.32375
1237650805882355856,161.186757825551,-1.33839360173375,0.1839675,17.99361
1237650805882290746,161.082489936504,-1.26818072813731,0.344248,19.27997
1237650804268466558,153.641673578667,-2.41909159687597,0.4316572,19.20838
1237650803732579014,155.90172650838,-2.93408879833513,0.4473015,20.24002
1237650796219990144,146.065745776382,0.18367690603957,0.1269755,17.70625
1237650795147166186,148.153430231042,-0.746488135867374,0.4488543,19.67045
1237650795146904277,147.634567636478,-0.682161397109591,0.4609175,20.44953
1237651067347861536,157.154855258903,63.046845185569,0.08034153,16.35689
1237650762923769896,171.693478852539,-1.57164515502193,0.3406637,18.29548
1237650762398630023,198.458315212544,-1.95451050576905,0.1817561,18.07856
1237650762392142581,183.693473765936,-1.9837695811332,0.4238981,20.82693
1237650762387423426,172.919310956792,-1.85509872771091,0.4342406,18.91921
1237650761861103968,196.919053294644,-2.24869204769269,0.4251528,19.45101
1237650761856713628,186.973827017372,-2.3608205610903,0.4538954,20.27617
1237650761853239829,179.025602971511,-2.31697515309127,0.4247091,19.73085
1237650760788934876,200.602806179764,-3.20220636979704,0.08569597,16.92534
1237650760239153187,171.007468869659,-3.55345224284007,0.2455314,18.10331
1237650372096360731,188.715604090156,-1.42800513817831,0.512795,19.77357
1237651251504087191,211.307310481288,62.8356520577433,0.3862629,18.68333
1237650372093018164,181.092234741512,-1.36758348971844,0.0833853,16.75519
1237651251504283829,212.12174939932,62.5820186685557,0.07656376,16.66747
1237650371563159701,197.146101201933,-1.64313024158604,0.4901783,18.71886
1237650371561783306,193.888698214938,-1.76698372859521,0.4821986,20.47909
1237650371554705737,177.713490025004,-1.69222476244172,0.4535781,20.68119
1237650371551625798,170.781369924014,-1.68072127862595,0.3989096,20.3695
1237650371550642803,168.541568978107,-1.57923880711129,0.4524551,20.02286
1237650371549987289,166.967264573447,-1.57908669345855,0.4606815,20.45704
1237650371020062840,182.921143347205,-2.23076137123732,0.372061,18.54389
1237650371015213488,171.740054520159,-2.16578556857428,0.4916958,20.2081
1237650371013443868,167.785276776651,-2.00302116383484,0.4619027,20.03433
1237650370478866809,172.939603591428,-2.62971638855208,0.5018423,20.14466
1237650369947042223,184.446303472866,-3.05770072675717,0.5883701,20.63115
1237650369942061415,173.0842694374,-3.03954145878844,0.4367183,20.08246
1237651252040827077,211.236995047119,63.4191128992781,0.2571608,18.78595
1237651067885191686,159.092308110125,63.9314332418356,0.4317968,19.34632
1237648722848251978,195.847709101423,1.18406580729636,0.08601505,17.76456
1237648722844516913,187.215935111962,1.2341967652702,0.4830632,20.78144
1237648722844254969,186.713139431783,1.11254750856602,0.4839995,19.72361
1237651271357366375,152.477458870238,62.5131979070436,0.08463362,16.56627
1237648722840977913,179.162824377275,1.20754967287166,0.5149465,19.59974
1237648722302272445,174.95449918521,0.714045092983643,0.2437264,21.46257
1237648722294014247,156.039564330025,0.663878217478151,0.4524435,20.36904
1237648721780801569,210.125584114233,0.369039471297535,0.2585477,17.94633
1237648721773396235,193.271895310878,0.265531925730658,0.07113216,16.69883
1237648721772020605,190.139886489449,0.260572044845826,0.4614522,20.18209
1237648721768088210,181.092372285149,0.372691466415241,0.5146233,20.24656
1237648721236263118,192.672939614834,-0.0904211486982372,0.4914537,19.16684
1237648721232920809,185.06542411049,-0.0476693875727637,0.3969258,18.80813
1237648721231937747,182.824201721683,-0.0368033990414273,0.181084,17.77165
1237648721225711706,168.530650885706,-0.00863996761052258,0.07265639,16.04033
1237648721222434882,161.055515377012,-0.0568786679365761,0.2794001,18.14276
1237648721220665978,157.044013184372,-0.207373528567315,0.4338895,20.86804
